ds,y
2020-03-01,1
2020-03-02,2
2020-03-03,2
2020-03-04,22
2020-03-05,1
2020-03-06,1
2020-03-07,3
2020-03-08,5
2020-03-09,3
2020-03-10,16
2020-03-11,2
2020-03-12,12
2020-03-13,7
2020-03-14,24
2020-03-15,3
2020-03-16,4
2020-03-17,23
2020-03-18,14
2020-03-19,22
2020-03-20,50
2020-03-21,60
2020-03-22,77
2020-03-23,108
2020-03-24,58
2020-03-25,86
2020-03-26,88
2020-03-27,179
2020-03-28,106
2020-03-29,92
2020-03-30,180
2020-03-31,386
2020-04-01,328
2020-04-02,336
2020-04-03,601
2020-04-04,472
2020-04-05,693
2020-04-06,354
2020-04-07,732
2020-04-08,540
2020-04-09,678
2020-04-10,1035
2020-04-11,909
2020-04-12,769
2020-04-13,1211
2020-04-14,1076
2020-04-15,941
2020-04-16,1007
2020-04-17,991
2020-04-18,1334
2020-04-19,1553
2020-04-20,1336
2020-04-21,1383
2020-04-22,1409
2020-04-23,1684
2020-04-24,1429
2020-04-25,1990